country,year,url
Turkey,2021,https://www.imf.org/en/publications/cr/issues/2021/06/11/turkey-2021-article-iv-consultation-press-release-staff-report-and-statement-by-the-50205
Turkey,2016,https://www.imf.org/en/publications/cr/issues/2016/12/31/turkey-2016-article-iv-consultation-press-release-staff-report-and-statement-by-the-43872
Argentina,2017,https://www.imf.org/en/publications/cr/issues/2017/12/29/argentina-2017-article-iv-consultation-press-release-staff-report-and-statement-by-the-45530
Argentina,2016,https://www.imf.org/en/publications/cr/issues/2016/12/31/argentina-2016-article-iv-consultation-press-release-staff-report-and-statement-by-the-44386
Argentina,2022,https://www.imf.org/en/publications/cr/issues/2022/03/25/argentina-staff-report-for-2022-article-iv-consultation-and-request-for-an-extended-515742
Sri Lanka,2021,https://www.imf.org/en/publications/cr/issues/2022/03/25/sri-lanka-2021-article-iv-consultation-press-release-staff-report-and-statement-by-the-515737
Sri Lanka,2024,https://www.imf.org/en/publications/cr/issues/2024/06/13/sri-lanka-2024-article-iv-consultation-and-second-review-under-the-extended-fund-facility-550261
Lebanon,2023,https://www.imf.org/en/publications/cr/issues/2023/06/28/lebanon-2023-article-iv-consultation-press-release-staff-report-and-statement-by-the-535372
Lebanon,2016,https://www.imf.org/en/publications/cr/issues/2017/01/24/lebanon-2016-article-iv-consultation-press-release-staff-report-and-statement-by-the-44572
Lebanon,2019,https://www.imf.org/en/publications/cr/issues/2019/10/17/lebanon-2019-article-iv-consultation-press-release-staff-report-informational-annex-and-48733
Zambia,2017,https://www.imf.org/en/publications/cr/issues/2017/10/25/zambia-2017-article-iv-consultation-press-release-staff-report-and-statement-by-the-45358
Zambia,2019,https://www.imf.org/en/publications/cr/issues/2019/08/02/zambia-2019-article-iv-consultation-press-release-staff-report-and-statement-by-the-48558
Zambia,2023,https://www.imf.org/en/publications/cr/issues/2023/07/13/zambia-2023-article-iv-consultation-first-review-under-the-extended-credit-facility-536340
Pakistan,2024,https://www.imf.org/en/publications/cr/issues/2024/10/10/pakistan-2024-article-iv-consultation-and-request-for-an-extended-arrangement-under-the-556152
Pakistan,2017,https://www.imf.org/en/publications/cr/issues/2017/07/13/pakistan-2017-article-iv-consultation-press-release-staff-report-informational-annex-and-45078
Ghana,2021,https://www.imf.org/en/publications/cr/issues/2021/07/23/ghana-2021-article-iv-consultation-press-release-staff-report-and-statement-by-the-462570
Ghana,2019,https://www.imf.org/en/publications/cr/issues/2019/12/18/ghana-2019-article-iv-consultation-press-release-staff-report-and-statement-by-the-executive-48883
Ghana,2023,https://www.imf.org/en/publications/cr/issues/2024/01/25/ghana-2023-article-iv-consultation-first-review-under-the-extended-credit-facility-544137
Ecuador,2016,https://www.imf.org/en/publications/cr/issues/2019/03/21/ecuador-2016-article-iv-consultation-press-release-and-staff-report-46689
Switzerland,2024,https://www.imf.org/en/publications/cr/issues/2024/06/21/switzerland-2024-article-iv-consultation-press-release-staff-report-informational-annex-and-550651
Switzerland,2023,https://www.imf.org/en/publications/cr/issues/2023/06/06/switzerland-2023-article-iv-consultation-press-release-staff-report-and-statement-by-the-534281
Korea,2024,https://www.imf.org/en/publications/cr/issues/2025/02/07/republic-of-korea-2024-article-iv-consultation-press-release-staff-report-and-statement-by-561780
Korea,2023,https://www.imf.org/en/publications/cr/issues/2023/11/16/republic-of-korea-2023-article-iv-consultation-press-release-staff-report-and-statement-by-541502
Korea,2021,https://www.imf.org/en/publications/cr/issues/2021/03/24/republic-of-korea-2021-article-iv-consultation-press-release-staff-report-staff-statement-50306
Korea,2022,https://www.imf.org/en/publications/cr/issues/2022/03/24/republic-of-korea-2022-article-iv-consultation-press-release-staff-report-staff-statement-515711
