country,iso3,group,crisis_year,crisis_type,year_start,year_end
Turkey,TUR,treatment,2018,currency,2015,2023
Argentina,ARG,treatment,2018,currency,2015,2023
Sri Lanka,LKA,treatment,2022,sovereign_debt,2017,2024
Lebanon,LBN,treatment,2019,banking,2016,2023
Zambia,ZMB,treatment,2020,sovereign_debt,2017,2024
Pakistan,PAK,treatment,2022,currency,2016,2024
Ghana,GHA,treatment,2022,sovereign_debt,2018,2024
Egypt,EGY,treatment,2016,currency,2015,2023
Ecuador,ECU,treatment,2020,sovereign_debt,2016,2023
Switzerland,CHE,control,,,2015,2024
Canada,CAN,control,,,2015,2024
Korea,KOR,control,,,2015,2024
Poland,POL,control,,,2015,2024
Malaysia,MYS,control,,,2015,2024
