country,year,q1_fiscal,q2_banking,q3_policy,q4_deterioration,q5_external,total_score
argentina,2016,6,0,5,6,5,22
argentina,2017,6,2,6,3,8,25
argentina,2022,8,3,8,8,8,35
canada,2016,2,5,4,5,2,18
canada,2017,3,3,4,3,3,16
canada,2018,5,4,5,3,2,19
canada,2019,3,6,5,4,2,20
canada,2021,3,4,3,6,1,17
canada,2022,2,3,3,4,2,14
canada,2023,5,1,5,4,3,18
canada,2024,3,4,6,3,1,17
canada,2025,3,4,4,4,2,17
ecuador,2015,3,5,8,7,7,30
ecuador,2016,6,8,9,8,8,39
ecuador,2019,8,5,5,7,8,33
ecuador,2021,5,3,5,4,5,22
ecuador,2024,6,5,6,6,5,28
egypt,2014,8,3,7,7,7,32
egypt,2017,7,3,6,6,3,25
egypt,2021,6,1,5,5,4,21
egypt,2025,8,5,5,6,5,29
ghana,2019,8,5,7,7,8,35
ghana,2021,8,6,7,7,7,35
ghana,2023,8,7,9,7,8,39
korea,2016,2,5,7,4,3,21
korea,2017,5,4,6,4,1,20
korea,2021,3,4,4,4,1,16
korea,2022,4,5,4,2,3,18
korea,2023,5,5,4,4,3,21
korea,2024,4,5,6,4,2,21
lebanon,2015,8,6,9,7,5,35
lebanon,2016,9,7,9,8,8,41
lebanon,2018,9,8,9,8,8,42
lebanon,2019,8,9,8,8,9,42
lebanon,2023,9,9,10,10,9,47
malaysia,2021,6,3,4,5,3,21
malaysia,2022,6,1,6,4,3,20
malaysia,2023,6,2,8,4,4,24
malaysia,2024,4,4,6,2,4,20
pakistan,2017,7,1,6,3,6,23
pakistan,2024,8,5,8,8,8,37
poland,2018,1,3,7,2,3,16
poland,2020,5,4,4,5,3,21
poland,2021,4,3,4,4,3,18
poland,2024,5,2,5,4,1,17
sri_lanka,2021,10,7,8,9,10,44
sri_lanka,2024,8,8,8,7,8,39
switzerland,2023,1,6,5,5,3,20
switzerland,2024,2,5,6,4,3,20
turkey,2016,2,6,5,6,8,27
turkey,2017,4,7,7,7,8,33
turkey,2021,5,6,8,8,8,35
zambia,2017,8,6,8,8,7,37
zambia,2019,9,6,8,8,8,39
zambia,2023,9,4,5,5,7,30
